Year,Men,Women,Black,White,Asian,Latinos
2010,13122.93,17682.07,2834.06,23627.435,2156.35,2187.155
2011,13280.553,17676.447,2817.087,23744.019,2105.076,2290.818
2012,13424.22,17940.78,2916.945,23429.655,2446.47,2571.93
2013,13692.393,18224.607,2968.281,23682.414,2649.111,2617.194
2014,14072.212,18806.788,3189.263,24034.549,2827.594,2827.594
2015,14488.656,19363.344,3317.496,24610.404,2945.124,2978.976
2016,14834.14,19663.86,3380.804,25563.018,3173.816,2380.362
2017,15274.46,20247.54,3658.766,27671.638,3303.546,3303.546
2018,15805.152,20780.848,3841.53,28244.392,3512.256,3512.256
2019,15862.962,21374.038,3909.885,28560.779,3723.7,3686.463
